Time Elapsed (s),Lat (deg),Lon (deg),Geoaltitude (m),Impact pressure (Pa),Meas. Static Temp (K)
64,50.051,8.611,454,4520.97,277.479
68,50.052,8.616,468,4799.78,277.2534
72,50.053,8.62,476,5017.91,277.2752
76,50.053,8.6248,487,5254.48,277.084
80,50.055,8.6298,497,5619.15,276.7935
84,50.056,8.6349,509,5850.77,276.9011
88,50.057,8.6402,522,6169.47,276.645
92,50.058,8.6456,539,6363.37,276.484
96,50.059,8.6512,560,6668.97,276.5274
100,50.06,8.6559,576,6871.35,276.36
104,50.062,8.6615,590,7202.98,276.0932
108,50.063,8.6675,606,7549.97,276.0091
112,50.064,8.6734,631,7829.63,275.7748
116,50.065,8.6792,663,7945.13,275.6616
120,50.067,8.6849,706,7910.26,275.4616
124,50.068,8.6912,746,8026.92,275.0475
128,50.069,8.6976,788,8222.23,274.8628
132,50.07,8.7031,829,8256.17,274.8046
136,50.071,8.7091,878,8222.75,274.3046
140,50.071,8.7161,919,8336.59,273.9874
144,50.071,8.7225,955,8539.43,273.7978
148,50.071,8.7293,988,8808.97,273.5572
152,50.07,8.7362,1015,9026.88,273.3618
156,50.069,8.7429,1035,9318.41,273.1141
160,50.069,8.7492,1052,9458.05,272.9887
164,50.068,8.7561,1074,9770.27,272.7222
168,50.067,8.7637,1100,10248.58,272.3207
172,50.066,8.7716,1131,10389.44,271.8892
176,50.065,8.7784,1172,10421.45,271.823
180,50.065,8.7861,1224,10375.4,271.323
184,50.064,8.7928,1270,10408.55,271.0566
188,50.063,8.8002,1321,10539.96,270.6097
192,50.062,8.8078,1373,10409.75,270.1766
196,50.061,8.8155,1428,10570.02,270.4751
200,50.06,8.8225,1481,10648.24,270.8394
204,50.059,8.8303,1535,10585.86,270.6394
208,50.058,8.8382,1590,10622.67,269.9712
212,50.058,8.8447,1637,10661.03,269.8891
216,50.058,8.8524,1695,10411.84,269.8394
220,50.058,8.8598,1755,10597.85,269.6204
224,50.058,8.8673,1808,10528.68,269.6204
228,50.058,8.8751,1865,10454.7,269.6204
232,50.058,8.8826,1923,10222.32,269.2712
236,50.058,8.8905,1978,10248.99,269.1891
240,50.058,8.8976,2031,10193.4,268.8891
244,50.058,8.9042,2071,10158.48,268.4891
248,50.059,8.9121,2117,10112.54,268.1891
252,50.059,8.9199,2156,10301.62,267.9822
256,50.059,8.9278,2192,10415.56,267.843
260,50.059,8.935,2234,10619,267.6182
264,50.059,8.943,2281,10380.12,267.773
268,50.059,8.9508,2331,10423.19,267.3887
272,50.059,8.9578,2368,10454.63,267.3182
276,50.059,8.9659,2410,10407.78,267.1182
280,50.059,8.9739,2453,10360.28,266.9182
284,50.06,8.9813,2498,10459.71,266.7764
288,50.06,8.9894,2541,10634.23,266.7618
292,50.06,8.9978,2586,10678.43,266.4754
296,50.06,9.0048,2628,10634.64,266.1754
300,50.06,9.0129,2680,10737.21,265.7305
304,50.06,9.0205,2733,10674.09,265.5305
308,50.06,9.0289,2787,10622.36,265.0305
312,50.06,9.0368,2841,10492.19,264.6031
316,50.06,9.0448,2896,10362.08,264.1754
320,50.061,9.0531,2951,10310.35,263.6754
324,50.061,9.0603,2995,10168.59,263.5618
328,50.061,9.0675,3043,10118.61,263.2618
332,50.061,9.0756,3090,10070.55,262.9618
336,50.061,9.0838,3127,10190.43,262.8031
340,50.061,9.0922,3152,10298.44,262.9577
344,50.061,9.0999,3169,10588.44,262.9492
348,50.061,9.1085,3188,10876.72,262.6512
352,50.062,9.1171,3206,11106.7,262.4101
356,50.062,9.1247,3221,11318.57,262.3816
360,50.062,9.1332,3239,11626.48,262.2581
364,50.062,9.1423,3257,11931.76,261.9458
368,50.062,9.1509,3277,12155.95,261.9932
372,50.062,9.1599,3299,12376.74,261.754
376,50.062,9.1691,3319,12620.11,261.4964
380,50.062,9.1784,3337,12836.07,261.5526
384,50.063,9.1868,3351,13055.5,261.7065
388,50.063,9.1956,3367,13279.95,262.0416
392,50.063,9.2053,3385,13597.15,261.9069
396,50.063,9.215,3406,13942.62,261.5511
400,50.063,9.2251,3430,13888.45,261.7511
404,50.063,9.2349,3449,14095.76,262.0944
408,50.063,9.2438,3458,14458.09,261.9311
412,50.063,9.2534,3466,14923.29,261.6752
416,50.063,9.2635,3479,15246.17,261.92
420,50.062,9.274,3496,15414.09,261.923
424,50.061,9.2843,3513,15661.41,261.8523
428,50.061,9.2943,3530,16023.65,261.7696
432,50.06,9.3052,3550,16350.61,261.901
436,50.059,9.3143,3572,16595.09,262.1033
440,50.059,9.3252,3603,16549.26,261.8033
444,50.058,9.3358,3642,16567.88,261.7098
448,50.057,9.347,3684,16593.35,261.416
452,50.056,9.3571,3727,16602.12,261.3219
456,50.056,9.3676,3770,16712.81,261.133
460,50.055,9.3789,3813,16606.38,261.333
464,50.054,9.3895,3858,16711.05,261.4241
468,50.054,9.3993,3897,16706.77,261.6288
472,50.053,9.4094,3941,16712.19,261.5332
476,50.052,9.4203,3984,16873.16,261.9449
480,50.051,9.4309,4029,16774.46,261.9449
484,50.051,9.4419,4075,16774.37,261.8483
488,50.05,9.4532,4122,16537.61,262.4449
492,50.049,9.4633,4166,16344.06,262.5413
496,50.049,9.473,4202,16280.86,262.3413
500,50.048,9.4836,4239,16516.18,262.0321
504,50.047,9.4949,4276,16520.9,262.135
508,50.047,9.5057,4314,16551.25,261.8376
512,50.046,9.516,4351,16569.14,261.7399
516,50.045,9.5274,4389,16585.17,261.642
520,50.045,9.537,4422,16533.43,261.342
524,50.044,9.5476,4461,16567.56,260.9439
528,50.043,9.5586,4499,16498.88,260.7439
532,50.042,9.5701,4538,16511.77,260.6455
536,50.042,9.5804,4575,16444.72,260.4455
540,50.041,9.5912,4611,16269.83,260.5439
544,50.04,9.6026,4646,16332.21,259.8455
548,50.04,9.6125,4675,16269.57,259.8455
552,50.039,9.6237,4707,16329.76,259.5271
556,50.038,9.634,4737,16278.74,259.3271
560,50.037,9.6455,4766,16311.96,259.2282
564,50.037,9.6566,4796,16364.21,258.829
568,50.036,9.668,4826,16492.16,258.6299
572,50.035,9.6795,4858,16518.74,258.53
576,50.035,9.6899,4890,16469.26,258.23
580,50.034,9.7002,4919,16323.5,258.1299
584,50.033,9.7111,4951,16267.67,257.9299
588,50.032,9.7227,4981,16298.48,257.83
592,50.031,9.7346,5010,16467.06,257.3093
596,50.031,9.7452,5040,16594.06,257.1076
600,50.03,9.7569,5070,16624.18,257.0064
604,50.029,9.7682,5102,16670.93,256.6049
608,50.028,9.7787,5132,16715.58,256.3032
612,50.027,9.7902,5166,16852.61,256.0785
616,50.027,9.8022,5203,16978.77,255.6733
620,50.026,9.8129,5242,17009.67,255.2703
624,50.025,9.8244,5282,16940.28,254.9703
628,50.024,9.836,5324,16873.98,254.5703
632,50.023,9.8479,5358,16796.8,254.5703
636,50.023,9.8582,5386,16755.11,254.2703
640,50.022,9.8692,5417,16818.24,253.667
644,50.021,9.8808,5448,16556.09,253.8733
648,50.02,9.892,5479,16332.32,253.5785
652,50.02,9.904,5511,15889.86,253.7064
656,50.019,9.9158,5544,15648.34,253.7086
660,50.018,9.926,5571,15605.19,253.5086
664,50.017,9.937,5599,15769.7,252.7064
668,50.017,9.9483,5619,15890.93,252.8032
672,50.016,9.9601,5638,16219.42,252.6733
676,50.015,9.9722,5659,16194.64,252.3733
680,50.014,9.9831,5679,16432.58,252.0635
684,50.013,9.9957,5697,16578.98,252.1349
688,50.013,10.006,5713,16564.61,251.8349
692,50.011,10.018,5735,16537.27,251.5349
696,50.011,10.03,5756,16657.81,251.626
700,50.01,10.042,5771,16343.3,251.6597
704,50.009,10.053,5777,16537.49,251.4306
708,50.008,10.065,5781,16718.59,251.2212
712,50.007,10.077,5784,16536.11,251.2306
716,50.006,10.09,5787,16704.92,251.2212
720,50.006,10.1,5786,16707.2,251.2212
724,50.005,10.111,5787,16609.76,251.326
728,50.004,10.124,5787,16896.83,251.0109
732,50.003,10.135,5786,16802.71,251.1162
736,50.002,10.147,5783,16714.04,251.2212
740,50.002,10.16,5788,16680.36,251.5212
744,50,10.171,5795,16686.7,251.2212
748,50,10.181,5815,16905.79,251.2053
752,49.999,10.193,5837,16892.58,250.7053
756,49.998,10.206,5873,16539.13,250.8212
760,49.997,10.218,5908,16671.26,250.3109
764,49.996,10.229,5936,16534.82,250.1162
768,49.995,10.241,5970,16552.29,250.0109
772,49.995,10.252,5997,16713.69,249.5784
776,49.994,10.264,6032,16463.38,249.3109
780,49.993,10.276,6063,16508.89,248.9053
784,49.992,10.288,6098,16781.27,249.0593
788,49.991,10.299,6130,16707.57,249.0593
792,49.99,10.311,6165,16861.76,248.2454
796,49.989,10.323,6202,16711.47,247.9525
800,49.989,10.335,6239,16648.69,247.6525
804,49.988,10.346,6271,16669.69,247.5454
808,49.987,10.357,6306,16720.48,246.9381
812,49.986,10.369,6342,16765.94,246.6089
816,49.985,10.381,6378,16966.46,246.2845
820,49.984,10.394,6414,16866.8,246.4845
824,49.983,10.406,6454,16811.35,245.9845
828,49.982,10.417,6494,16662.29,245.5929
832,49.982,10.428,6528,16598.71,245.3929
836,49.981,10.44,6564,16468.44,244.901
840,49.98,10.452,6598,16405.46,244.701
844,49.979,10.464,6628,16351.77,244.501
848,49.978,10.475,6658,16328.17,243.901
852,49.977,10.487,6685,16190.34,243.8089
856,49.976,10.499,6711,16037.07,243.7381
860,49.975,10.509,6731,16101.16,243.6089
864,49.974,10.522,6744,16254.06,243.3929
868,49.974,10.534,6757,16408.2,243.1759
872,49.973,10.545,6773,16541.32,243.1579
876,49.972,10.557,6796,16599.32,243.0266
880,49.971,10.57,6821,16727.2,242.807
884,49.97,10.581,6845,16671.01,242.807
888,49.969,10.593,6875,16802.74,242.3864
892,49.968,10.605,6905,16825.21,242.2757
896,49.967,10.617,6938,16677.84,242.0864
900,49.966,10.629,6971,16531.07,241.8968
904,49.965,10.641,7003,16380.48,241.807
908,49.964,10.654,7031,16331.48,241.607
912,49.964,10.665,7055,16390.34,241.1968
916,49.963,10.676,7077,16362.24,240.8968
920,49.962,10.688,7100,16309.21,240.8968
924,49.961,10.701,7122,16364.97,240.5864
928,49.96,10.713,7144,16405.18,240.4757
932,49.959,10.724,7165,16371.96,240.2757
936,49.958,10.737,7186,16414.25,240.1648
940,49.957,10.75,7207,16498.68,239.7314
944,49.956,10.76,7225,16547.84,239.6199
948,49.955,10.773,7248,16585.71,239.5082
952,49.954,10.786,7271,16555.38,239.2082
956,49.953,10.797,7294,16501.44,239.2082
960,49.952,10.809,7318,16460.66,239.0082
964,49.951,10.822,7340,16333.88,238.9199
968,49.95,10.835,7361,16399.07,238.5082
972,49.949,10.846,7378,16450.63,238.3962
976,49.948,10.857,7398,16403.88,238.3962
980,49.947,10.87,7418,16471.64,237.984
984,49.946,10.883,7437,16427.11,237.984
988,49.946,10.895,7454,16402.58,237.784
992,49.944,10.908,7473,16358.2,237.784
996,49.944,10.92,7491,16406.74,237.6715
1000,49.943,10.931,7506,16587.89,237.2233
1004,49.942,10.944,7525,16542.94,237.2233
1008,49.941,10.957,7545,16428.41,237.0363
1012,49.94,10.97,7562,16478.98,236.9233
1016,49.938,10.982,7580,16527.66,236.81
1020,49.938,10.994,7597,16602.52,236.3965
1024,49.937,11.005,7612,16566.91,236.3965
1028,49.936,11.019,7630,16631.64,236.0827
1032,49.935,11.031,7650,16861.41,235.917
1036,49.934,11.044,7669,16463.85,235.9965
1040,49.933,11.056,7686,16514.28,235.8827
1044,49.931,11.069,7704,16562.31,235.7687
1048,49.931,11.082,7720,16524.31,235.7687
1052,49.93,11.095,7736,16577.42,235.6545
1056,49.929,11.106,7749,16680.12,235.217
1060,49.927,11.119,7765,16641.8,235.217
1064,49.926,11.132,7786,16774.35,234.9872
1068,49.925,11.145,7806,16726.15,234.9872
1072,49.924,11.158,7825,16704.65,234.6872
1076,49.923,11.171,7846,16745.36,234.5719
1080,49.922,11.183,7866,16713.27,234.3719
1084,49.921,11.194,7884,16669.94,234.3719
1088,49.92,11.208,7905,16636.04,234.1719
1092,49.919,11.221,7924,16614.46,233.8719
1096,49.918,11.234,7943,16659.86,233.7563
1100,49.917,11.246,7962,16705.18,233.6405
1104,49.916,11.26,7981,16750.44,233.5245
1108,49.915,11.273,8001,16836.39,233.0849
1112,49.914,11.284,8022,16785.29,233.0849
1116,49.913,11.297,8043,16825.91,232.9683
1120,49.912,11.311,8068,16781.55,232.7683
1124,49.911,11.323,8091,16742.12,232.5683
1128,49.91,11.335,8115,16799.45,232.1515
1132,49.908,11.349,8138,16743.44,232.1515
1136,49.908,11.361,8159,16808.26,231.7344
1140,49.907,11.374,8181,16663.86,231.8515
1144,49.906,11.385,8205,16713.03,231.5344
1148,49.904,11.399,8228,16673.46,231.3344
1152,49.903,11.412,8250,16464.53,231.2683
1156,49.902,11.425,8269,16508.46,231.1515
1160,49.901,11.438,8291,16480.49,230.8515
1164,49.9,11.451,8309,16453.35,230.6515
1168,49.899,11.462,8326,16502.24,230.5344
1172,49.898,11.475,8342,16480.3,230.3344
1176,49.897,11.488,8360,16437.01,230.3344
1180,49.896,11.502,8377,16396.22,230.3344
1184,49.895,11.514,8392,16473.77,229.9171
1188,49.894,11.527,8409,16432.85,229.9171
1192,49.892,11.54,8424,16511.26,229.4995
1196,49.892,11.552,8438,16477.45,229.4995
1200,49.891,11.565,8452,16443.69,229.4995
1204,49.889,11.578,8468,16510.7,229.1816
1208,49.888,11.59,8484,16579.68,229.0399
1212,49.887,11.604,8499,16543.24,229.0399
1216,49.886,11.617,8515,16521.39,228.8399
1220,49.885,11.63,8530,16574.59,228.7215
1224,49.884,11.642,8544,16540.54,228.7215
1228,49.883,11.654,8561,16613.94,228.3029
1232,49.882,11.667,8577,16574.91,228.3029
1236,49.881,11.681,8592,16538.39,228.3029
1240,49.88,11.694,8608,16524.56,228.0029
1244,49.878,11.707,8623,16577.75,227.884
1248,49.877,11.72,8637,16470.49,227.8029
1252,49.876,11.731,8650,16438.98,227.8029
1256,49.875,11.745,8663,16407.52,227.8029
1260,49.874,11.758,8675,16467.53,227.684
1264,49.873,11.771,8686,16440.84,227.684
1268,49.872,11.784,8697,16520.03,227.3649
1272,49.87,11.797,8710,16488.37,227.3649
1276,49.869,11.811,8721,16550.74,227.2455
1280,49.868,11.822,8731,16551.74,226.9455
1284,49.867,11.836,8743,16433.51,227.0649
1288,49.866,11.849,8755,16404.4,227.0649
1292,49.865,11.862,8766,16466.38,226.9455
1296,49.864,11.875,8775,16533.79,226.8259
1300,49.862,11.889,8785,16616.61,226.682
1304,49.861,11.903,8797,16612.54,226.382
1308,49.86,11.914,8809,16583.07,226.382
1312,49.859,11.927,8821,16553.64,226.382
1316,49.858,11.941,8834,16627.91,226.0618
1320,49.857,11.954,8847,16595.92,226.0618
1324,49.856,11.967,8859,16494.01,225.982
1328,49.854,11.981,8871,16554.15,225.8618
1332,49.853,11.994,8883,16524.72,225.8618
1336,49.852,12.005,8892,16591.7,225.7414
1340,49.851,12.019,8904,16498.48,225.5618
1344,49.85,12.033,8915,16471.57,225.5618
1348,49.848,12.046,8926,16559.02,225.1414
1352,49.847,12.059,8936,16534.45,225.1414
1356,49.846,12.073,8946,16599.2,225.0207
1360,49.845,12.087,8959,16478.05,225.1414
1364,49.844,12.098,8968,16473.04,224.9414
1368,49.843,12.112,8978,16626.76,224.6998
1372,49.841,12.126,8991,16505.56,224.8207
1376,49.84,12.139,9006,16557.65,224.6998
1380,49.839,12.152,9024,16441.64,224.6207
1384,49.838,12.166,9042,16423.01,224.3207
1388,49.836,12.18,9060,16316.26,224.1414
1392,49.835,12.192,9075,16279.81,224.1414
1396,49.834,12.204,9092,16167.46,224.0618
1400,49.833,12.218,9109,16143.18,223.8618
1404,49.832,12.232,9125,16130.1,223.5618
1408,49.831,12.245,9140,16094.01,223.5618
1412,49.829,12.259,9155,15995.87,223.382
1416,49.828,12.272,9170,15856.68,223.5259
1420,49.827,12.284,9182,15572.73,223.884
1424,49.826,12.297,9192,15465.04,224.0029
1428,49.825,12.311,9198,15535.51,223.884
1432,49.823,12.325,9199,15678.35,223.9455
1436,49.822,12.338,9201,15673.66,223.9455
1440,49.821,12.352,9200,15736.67,224.1259
1444,49.819,12.366,9201,15718.46,224.3259
1448,49.818,12.378,9201,15820.61,224.182
1452,49.817,12.392,9204,16071.88,223.8207
1456,49.816,12.404,9211,15968.85,223.9414
1460,49.814,12.418,9221,15944.96,223.9414
1464,49.812,12.433,9231,15835.02,224.0618
1468,49.811,12.446,9242,15808.95,224.0618
1472,49.809,12.46,9251,15873.47,223.9414
1476,49.807,12.472,9263,15775.57,223.8618
1480,49.805,12.485,9278,15825.67,223.7414
1484,49.803,12.498,9296,15807.43,223.4414
1488,49.8,12.511,9316,15845.5,223.3207
1492,49.798,12.525,9337,15820.01,223.0207
1496,49.795,12.539,9359,15699.41,222.9414
1500,49.792,12.551,9382,15645.21,222.9414
1504,49.79,12.562,9402,15614.28,222.7414
1508,49.787,12.576,9425,15584.79,222.4414
1512,49.785,12.59,9448,15530.89,222.4414
1516,49.782,12.603,9470,15503.37,222.1414
1520,49.78,12.615,9493,15533.72,222.0207
1524,49.777,12.629,9519,15405.44,221.9414
1528,49.774,12.643,9544,15347.37,221.9414
1532,49.772,12.654,9565,15314.9,221.7414
1536,49.769,12.667,9590,15257.1,221.7414
1540,49.767,12.68,9615,15305.63,221.3207
1544,49.764,12.694,9641,15328.15,221.1998
1548,49.761,12.707,9669,15345.86,221.0786
1552,49.759,12.721,9700,15273.85,221.0786
1556,49.756,12.734,9734,15277.75,220.9572
1560,49.754,12.745,9768,15116.85,221.0786
1564,49.751,12.758,9808,14983.76,220.6998
1568,49.748,12.771,9842,14841.21,220.6207
1572,49.746,12.784,9869,14747.03,220.1414
1576,49.743,12.797,9890,14635.89,220.0618
1580,49.741,12.811,9911,14430.69,220.1259
1584,49.738,12.823,9933,14382.27,220.1259
1588,49.736,12.835,9951,14287.41,219.9455
1592,49.733,12.847,9971,14188.74,219.7649
1596,49.731,12.86,9993,14141.05,219.7649
1600,49.728,12.874,10014,14110.61,219.5649
1604,49.725,12.886,10035,14065.28,219.5649
1608,49.723,12.899,10055,13960.38,219.484
1612,49.72,12.912,10076,13937.47,219.184
1616,49.718,12.924,10093,13901.14,219.184
1620,49.715,12.937,10114,13802.75,219.0029
1624,49.713,12.95,10134,13775.03,218.8029
1628,49.71,12.963,10154,13746.94,218.6029
1632,49.707,12.975,10176,13625.86,218.7215
1636,49.705,12.989,10198,13505.69,218.8399
1640,49.702,13.002,10220,13357.45,219.1816
1644,49.7,13.013,10238,13247.45,219.2995
1648,49.697,13.025,10259,13204.61,219.2995
1652,49.694,13.038,10281,13232.36,219.1816
1656,49.692,13.051,10301,13191.55,219.1816
1660,49.689,13.065,10320,13239.72,219.0399
1664,49.686,13.078,10339,13114.3,219.1816
1668,49.684,13.09,10360,13230.28,218.9215
1672,49.681,13.102,10377,13209.57,218.7215
1676,49.679,13.115,10399,13006.59,218.9816
1680,49.676,13.128,10419,13073,218.5399
1684,49.673,13.141,10440,13122.68,218.1215
1688,49.671,13.154,10460,13024.58,218.0399
1692,49.668,13.167,10481,13111.16,218.0029
1696,49.665,13.18,10502,13140.21,217.884
1700,49.663,13.191,10519,13105.54,217.884
1704,49.66,13.204,10539,13078.69,217.684
1708,49.658,13.216,10560,13036.02,217.684
1712,49.655,13.229,10581,13007.6,217.484
1716,49.652,13.242,10603,12983.51,217.184
1720,49.65,13.256,10623,12963.83,216.884
1724,49.647,13.269,10641,12941.54,216.684
1728,49.645,13.28,10646,12917.4,216.884
1732,49.642,13.292,10652,12848.57,216.8029
1736,49.639,13.306,10656,12840.55,216.8029
1740,49.637,13.319,10657,12838.54,216.8029
1744,49.634,13.331,10658,12836.54,216.8029
1748,49.631,13.345,10658,12836.54,216.8029
1752,49.629,13.357,10659,12764.47,216.9215
1756,49.627,13.368,10660,12776.03,216.7215
1760,49.624,13.381,10660,12846.13,216.6029
1764,49.621,13.394,10660,12846.13,216.6029
1768,49.618,13.407,10659,12834.54,216.8029
1772,49.616,13.419,10659,12764.47,216.9215
1776,49.613,13.432,10664,12838.11,216.6029
1780,49.61,13.445,10673,12806.51,216.8029
1784,49.608,13.457,10686,12794.07,216.6029
1788,49.605,13.469,10702,12762.12,216.6029
1792,49.603,13.481,10717,12802.33,216.484
1796,49.6,13.495,10733,12861.41,216.0649
1800,49.597,13.508,10752,12823.22,216.0649
1804,49.595,13.521,10773,12781.12,216.0649
1808,49.592,13.534,10798,12661.22,216.184
1812,49.59,13.545,10820,12515.2,216.8029
1816,49.587,13.557,10844,12619.08,216.3649
1820,49.584,13.57,10868,12454.71,216.3029
1824,49.582,13.583,10891,12389.55,216.6029
1828,49.579,13.596,10914,12129.85,216.9816
1832,49.576,13.609,10935,12042.57,216.7995
1836,49.574,13.621,10951,12097.99,216.3816
1840,49.571,13.633,10966,12069.44,216.3816
1844,49.568,13.645,10980,12122.67,216.2399
1848,49.566,13.658,10997,11957.49,216.2995
1852,49.563,13.671,11012,11994.92,216.1816
1856,49.56,13.683,11026,11902.82,216.2995
1860,49.558,13.696,11037,11947.61,216.1816
1864,49.555,13.709,11047,11928.74,216.1816
1868,49.553,13.721,11055,11913.66,216.1816
1872,49.55,13.733,11065,11973.67,216.0399
1876,49.547,13.747,11075,12020.72,215.9215
1880,49.545,13.758,11087,11932.1,216.0399
1884,49.542,13.772,11098,11964.41,216.1215
1888,49.539,13.785,11110,11941.73,216.1215
1892,49.537,13.796,11120,11922.87,216.1215
1896,49.534,13.809,11133,11963.96,216.0029
1900,49.531,13.822,11144,11924.05,216.3029
1904,49.528,13.834,11158,11929.38,215.8029
1908,49.526,13.847,11171,11787.54,215.8399
1912,49.523,13.861,11184,11893.36,215.6029
1916,49.52,13.874,11196,11889.82,215.3029
1920,49.517,13.886,11208,11867.29,215.3029
1924,49.515,13.897,11219,11781.83,215.4215
1928,49.512,13.91,11232,11920.89,215.5649
1932,49.51,13.924,11244,11898.3,215.5649
1936,49.507,13.937,11255,11825.26,215.484
1940,49.504,13.949,11261,11814.05,215.484
1944,49.501,13.962,11263,11862.61,215.5649
1948,49.498,13.975,11266,11921.96,215.4455
1952,49.496,13.986,11265,11989.41,215.3259
1956,49.493,13.999,11263,12059.03,215.382
1960,49.49,14.013,11263,11980.27,215.5259
1964,49.488,14.025,11262,12060.94,215.382
1968,49.485,14.038,11263,12138.15,215.0618
1972,49.482,14.052,11265,12002.35,215.1259
1976,49.48,14.063,11269,11883.13,215.0649
1980,49.477,14.076,11272,11766.97,215.0029
1984,49.474,14.088,11273,11777.87,214.8029
1988,49.471,14.101,11273,11830.05,214.884
1992,49.469,14.114,11271,11833.79,214.884
1996,49.466,14.127,11268,11839.4,214.884
2000,49.463,14.14,11268,11839.4,214.884
2004,49.46,14.152,11268,11774.41,215.0029
2008,49.458,14.163,11268,11774.41,215.0029
2012,49.455,14.176,11268,11774.41,215.0029
2016,49.453,14.189,11270,11718.69,214.9215
2020,49.45,14.202,11271,11729.57,214.7215
2024,49.447,14.214,11270,11654.49,215.0399
2028,49.444,14.227,11270,11666.84,214.8399
2032,49.441,14.24,11267,11724.24,214.9215
2036,49.439,14.251,11267,11660.01,215.0399
2040,49.436,14.264,11267,11736.98,214.7215
2044,49.434,14.275,11268,11670.53,214.8399
2048,49.431,14.289,11267,11736.98,214.7215
2052,49.428,14.302,11268,11658.17,215.0399
2056,49.425,14.315,11268,11658.17,215.0399
2060,49.422,14.327,11269,11656.33,215.0399
2064,49.42,14.339,11268,11658.17,215.0399
2068,49.417,14.35,11268,11658.17,215.0399
2072,49.415,14.363,11268,11670.53,214.8399
2076,49.412,14.376,11269,11592.03,214.9816
2080,49.409,14.389,11269,11592.03,214.9816
2084,49.406,14.402,11268,11581.23,215.1816
2088,49.404,14.413,11268,11581.23,215.1816
2092,49.401,14.425,11269,11515.71,215.2995
2096,49.398,14.438,11268,11593.86,214.9816
2100,49.395,14.451,11268,11754.25,214.4215
2104,49.393,14.464,11269,11592.03,214.9816
2108,49.39,14.476,11267,11672.37,214.8399
2112,49.387,14.489,11270,11666.84,214.8399
2116,49.384,14.502,11269,11668.68,214.8399
2120,49.382,14.513,11268,11722.39,214.9215
2124,49.379,14.526,11269,11656.33,215.0399
2128,49.376,14.538,11268,11581.23,215.1816
2132,49.373,14.551,11268,11568.93,215.3816
2136,49.37,14.564,11268,11581.23,215.1816
2140,49.368,14.577,11269,11733.27,214.7215
2144,49.365,14.59,11268,11773.07,214.1215
2148,49.362,14.601,11268,11838.05,214.0029
2152,49.359,14.613,11266,11907.39,213.884
2156,49.357,14.626,11264,11936.92,213.484
2160,49.354,14.639,11264,11924.03,213.684
2164,49.351,14.652,11264,11924.03,213.684
2168,49.348,14.665,11265,11778.65,214.1215
2172,49.345,14.677,11267,11774.93,214.1215
2176,49.343,14.688,11268,11708.66,214.2399
2180,49.34,14.701,11268,11721.05,214.0399
2184,49.337,14.714,11268,11721.05,214.0399
2188,49.334,14.727,11268,11721.05,214.0399
2192,49.332,14.739,11268,11721.05,214.0399
2196,49.329,14.752,11270,11717.35,214.0399
2200,49.326,14.765,11269,11641.98,214.1816
2204,49.324,14.776,11268,11643.82,214.1816
2208,49.321,14.788,11268,11643.82,214.1816
2212,49.318,14.8,11268,11643.82,214.1816
2216,49.315,14.813,11267,11581.4,214.2995
2220,49.312,14.826,11268,11567.27,214.4995
2224,49.31,14.839,11268,11612.5,214.6816
2228,49.307,14.852,11267,11595.69,214.9816
2232,49.304,14.863,11267,11595.69,214.9816
2236,49.301,14.875,11268,11593.86,214.9816
2240,49.299,14.888,11269,11592.03,214.9816
2244,49.296,14.901,11268,11670.53,214.8399
2248,49.293,14.914,11267,11691.43,214.5399
2252,49.29,14.927,11267,11672.37,214.8399
2256,49.287,14.939,11267,11660.01,215.0399
2260,49.285,14.95,11266,11726.1,214.9215
2264,49.282,14.963,11267,11724.24,214.9215
2268,49.279,14.976,11267,11789.05,214.8029
2272,49.276,14.989,11265,11792.78,214.8029
2276,49.273,15.001,11265,11780,215.0029
2280,49.27,15.014,11268,11774.41,215.0029
2284,49.267,15.026,11267,11776.27,215.0029
2288,49.265,15.038,11266,11778.13,215.0029
2292,49.262,15.051,11267,11776.27,215.0029
2296,49.259,15.063,11267,11776.27,215.0029
2300,49.257,15.075,11268,11755.26,215.3029
2304,49.253,15.088,11268,11690.92,215.4215
2308,49.251,15.101,11268,11690.92,215.4215
2312,49.248,15.114,11267,11692.77,215.4215
2316,49.245,15.125,11268,11690.92,215.4215
2320,49.242,15.138,11268,11690.92,215.4215
2324,49.239,15.15,11269,11689.07,215.4215
2328,49.237,15.163,11269,11689.07,215.4215
2332,49.234,15.176,11268,11755.26,215.3029
2336,49.231,15.19,11268,11709.66,215.1215
2340,49.228,15.201,11267,11711.51,215.1215
2344,49.225,15.213,11267,11711.51,215.1215
2348,49.222,15.225,11268,11645.49,215.2399
2352,49.22,15.238,11267,11660.01,215.0399
2356,49.217,15.251,11266,11661.86,215.0399
2360,49.214,15.264,11267,11660.01,215.0399
2364,49.211,15.277,11267,11647.33,215.2399
2368,49.208,15.289,11267,11570.76,215.3816
2372,49.206,15.3,11267,11570.76,215.3816
2376,49.203,15.313,11268,11423.43,215.9171
2380,49.2,15.326,11268,11392.84,216.4171
2384,49.197,15.339,11271,11387.44,216.4171
2388,49.194,15.351,11269,11517.37,216.1816
2392,49.191,15.364,11268,11647.16,216.1215
2396,49.188,15.377,11267,11713.19,216.0029
2400,49.185,15.388,11266,11715.04,216.0029
2404,49.182,15.401,11264,11731.15,215.8029
2408,49.18,15.413,11266,11727.44,215.8029
2412,49.177,15.427,11266,11715.04,216.0029
2416,49.174,15.439,11265,11793.79,215.684
